SchoolName,SchoolYear,School List,FT Male,NONFT Male,Total Male,FT Female,NonFT Female,Total Female,FT Other,NonFT Other,Total Other,FT People of Color,NonFT People of Color,Total People of Color,Total FT,Total NonFT,Total,FullTimeLibrarians,PartTimeLibrarians,TotalLibrarians,FTMale,FTFemale,FTAGI,FTPNR,FTPOC,FTTotal,NONFTMale,NONFTFemale,NONFTAGI,NONFTPNR,NONFTPOC,NONFTTotal,MaleTotal,FemaleTotal,AGITotal,PNRTotal,POCTotal,TotalFaculties,FTLibrarians,PTLibrarians
,2022,FORDHAM UNIVERSITY,43.0,175.0,218.0,38.0,125.0,163.0,0.0,0.0,0.0,18.0,32.0,50.0,81.0,300.0,381.0,8.0,1.0,9,,,,,,,,,,,,,,,,,,,,
,2022,GEORGE MASON UNIVERSITY,37.0,133.0,170.0,13.0,97.0,110.0,1.0,0.0,1.0,9.0,38.0,47.0,51.0,230.0,281.0,8.0,4.0,12,,,,,,,,,,,,,,,,,,,,
,2022,GEORGE WASHINGTON UNIVERSITY,53.0,282.0,335.0,43.0,120.0,163.0,0.0,0.0,0.0,9.0,56.0,65.0,96.0,409.0,505.0,14.0,0.0,14,,,,,,,,,,,,,,,,,,,,
,2022,GEORGETOWN UNIVERSITY,106.0,440.0,546.0,111.0,217.0,328.0,0.0,0.0,0.0,51.0,107.0,158.0,217.0,657.0,874.0,23.0,0.0,23,,,,,,,,,,,,,,,,,,,,
,2022,GEORGIA STATE UNIVERSITY,29.0,49.0,78.0,40.0,31.0,71.0,0.0,0.0,0.0,17.0,10.0,27.0,69.0,80.0,149.0,8.0,0.0,8,,,,,,,,,,,,,,,,,,,,
,2022,"GEORGIA, UNIVERSITY OF",31.0,35.0,66.0,31.0,14.0,45.0,0.0,0.0,0.0,10.0,9.0,19.0,62.0,49.0,111.0,10.0,0.0,10,,,,,,,,,,,,,,,,,,,,
,2022,GOLDEN GATE UNIVERSITY,15.0,44.0,59.0,16.0,46.0,62.0,0.0,0.0,0.0,5.0,17.0,22.0,31.0,90.0,121.0,3.0,0.0,3,,,,,,,,,,,,,,,,,,,,
,2022,GONZAGA UNIVERSITY,13.0,21.0,34.0,14.0,23.0,37.0,0.0,0.0,0.0,7.0,7.0,14.0,27.0,44.0,71.0,3.0,0.0,3,,,,,,,,,,,,,,,,,,,,
,2022,HARVARD UNIVERSITY,103.0,109.0,212.0,83.0,52.0,135.0,0.0,0.0,0.0,36.0,40.0,76.0,186.0,161.0,347.0,24.0,0.0,24,,,,,,,,,,,,,,,,,,,,
,2022,"HAWAII, UNIVERSITY OF",25.0,39.0,64.0,13.0,38.0,51.0,0.0,0.0,0.0,17.0,28.0,45.0,38.0,77.0,115.0,6.0,0.0,6,,,,,,,,,,,,,,,,,,,,
,2022,HOFSTRA UNIVERSITY,23.0,50.0,73.0,27.0,27.0,54.0,0.0,0.0,0.0,7.0,5.0,12.0,50.0,77.0,127.0,6.0,0.0,6,,,,,,,,,,,,,,,,,,,,
,2022,"HOUSTON, UNIVERSITY OF",30.0,112.0,142.0,24.0,60.0,84.0,0.0,0.0,0.0,10.0,34.0,44.0,54.0,172.0,226.0,9.0,0.0,9,,,,,,,,,,,,,,,,,,,,
,2022,HOWARD UNIVERSITY,16.0,36.0,52.0,21.0,23.0,44.0,0.0,0.0,0.0,31.0,51.0,82.0,37.0,63.0,100.0,3.0,0.0,3,,,,,,,,,,,,,,,,,,,,
,2022,"IDAHO, UNIVERSITY OF",21.0,39.0,60.0,17.0,34.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,73.0,111.0,4.0,0.0,4,,,,,,,,,,,,,,,,,,,,
,2022,"ILLINOIS, UNIVERSITY OF",25.0,46.0,71.0,27.0,28.0,55.0,0.0,0.0,0.0,10.0,11.0,21.0,52.0,74.0,126.0,7.0,0.0,7,,,,,,,,,,,,,,,,,,,,
,2022,INDIANA UNIVERSITY - BLOOMINGTON,30.0,34.0,64.0,19.0,29.0,48.0,0.0,0.0,0.0,11.0,9.0,20.0,49.0,63.0,112.0,10.0,0.0,10,,,,,,,,,,,,,,,,,,,,
,2022,INDIANA UNIVERSITY - INDIANAPOLIS,23.0,67.0,90.0,21.0,59.0,80.0,0.0,0.0,0.0,5.0,20.0,25.0,44.0,126.0,170.0,5.0,0.0,5,,,,,,,,,,,,,,,,,,,,
,2022,INTER AMERICAN UNIVERSITY OF PUERTO RICO,18.0,50.0,68.0,10.0,28.0,38.0,0.0,0.0,0.0,29.0,79.0,108.0,30.0,80.0,110.0,5.0,2.0,7,,,,,,,,,,,,,,,,,,,,
