School Name,SchoolYear,Graduate Year,Total Graduates,Graduates who did not take the bar,Graduates with No Information,First Time Takers from Prior Years,Total First Time Takers,Total First Time Passers,Grads Admitted via Alternative Pathways,AvgSchoolPassPercent*,AvgStatePassPercent**,TotalDifferencePercent***,Pass % including Grads Admitted via Alternative Pathways,Graduates In 2022,Graduates who did not take the bar in 2022,Number of Early-Takers,Grads Admitted via Diploma Privilege,Pass % including Grads Admitted via Diploma Privilege,Graduates In 2023,Graduates who did not take the bar in 2023,Graduates who took bar exam before graduation,Graduates who took bar exam after graduation,Graduates In 2024,Graduates who did not take the bar in 2024
MICHIGAN STATE UNIVERSITY,2022,2021.0,191.0,42.0,0.0,40.0,189.0,138.0,0.0,73.02%,74.12%,-1.10%,73.02%,,,,,,,,,,,
"MICHIGAN, UNIVERSITY OF",2022,2021.0,362.0,5.0,19.0,16.0,354.0,344.0,1.0,97.18%,79.79%,17.39%,97.18%,,,,,,,,,,,
"MINNESOTA, UNIVERSITY OF",2022,2021.0,225.0,28.0,0.0,11.0,208.0,199.0,0.0,95.67%,79.40%,16.27%,95.67%,,,,,,,,,,,
MISSISSIPPI COLLEGE,2022,2021.0,88.0,20.0,0.0,24.0,92.0,64.0,0.0,69.57%,74.79%,-5.22%,69.57%,,,,,,,,,,,
"MISSISSIPPI, UNIVERSITY OF",2022,2021.0,144.0,28.0,0.0,33.0,149.0,104.0,0.0,69.80%,75.22%,-5.42%,69.80%,,,,,,,,,,,
"MISSOURI, UNIVERSITY OF",2022,2021.0,92.0,11.0,1.0,8.0,88.0,73.0,0.0,82.95%,81.59%,1.36%,82.95%,,,,,,,,,,,
"MISSOURI-KANSAS CITY, UNIVERSITY OF",2022,2021.0,136.0,43.0,0.0,22.0,115.0,86.0,0.0,74.78%,81.76%,-6.98%,74.78%,,,,,,,,,,,
MITCHELL|HAMLINE,2022,2021.0,331.0,81.0,0.0,59.0,309.0,184.0,0.0,59.55%,78.18%,-18.63%,59.55%,,,,,,,,,,,
"MONTANA, UNIVERSITY OF",2022,2021.0,71.0,5.0,2.0,2.0,66.0,55.0,0.0,83.34%,76.44%,6.90%,83.33%,,,,,,,,,,,
"NEBRASKA, UNIVERSITY OF",2022,2021.0,112.0,11.0,0.0,12.0,113.0,90.0,0.0,79.65%,73.64%,6.01%,79.65%,,,,,,,,,,,
