SchoolName,SchoolYear,School List,JD1 Transfers Out,Transfer In,75th Percentile JD1 GPA,GPA50thPercentile,GPA25thPercentile,TransferIn,50th Percentile JD1 GPA,25th Percentile JD1 GPA
,2022,"SAN DIEGO, UNIVERSITY OF",8,10.0,0.0,3.35,0.0,,,
,2022,"SAN FRANCISCO, UNIVERSITY OF",6,1.0,0.0,0.0,0.0,,,
,2022,SANTA CLARA UNIVERSITY,4,1.0,0.0,0.0,0.0,,,
,2022,SEATTLE UNIVERSITY,7,3.0,0.0,0.0,0.0,,,
,2022,SETON HALL UNIVERSITY,10,9.0,0.0,3.29,0.0,,,
,2022,"SOUTH CAROLINA, UNIVERSITY OF",4,1.0,0.0,0.0,0.0,,,
,2022,"SOUTH DAKOTA, UNIVERSITY OF",3,1.0,0.0,0.0,0.0,,,
,2022,SOUTH TEXAS COLLEGE OF LAW HOUSTON,14,4.0,0.0,0.0,0.0,,,
,2022,"SOUTHERN CALIFORNIA, UNIVERSITY OF",1,9.0,0.0,3.75,0.0,,,
,2022,SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,2,0.0,0.0,0.0,0.0,,,
,2022,SOUTHERN METHODIST UNIVERSITY,1,27.0,3.43,3.25,3.04,,,
,2022,SOUTHERN UNIVERSITY,1,0.0,0.0,0.0,0.0,,,
,2022,SOUTHWESTERN LAW SCHOOL,15,0.0,0.0,0.0,0.0,,,
,2022,ST. JOHN'S UNIVERSITY,0,9.0,0.0,3.35,0.0,,,
,2022,ST. MARY'S UNIVERSITY,4,4.0,0.0,0.0,0.0,,,
,2022,ST. THOMAS UNIVERSITY (FLORIDA),17,5.0,0.0,0.0,0.0,,,
,2022,"ST. THOMAS, UNIVERSITY OF (MINNESOTA)",4,0.0,0.0,0.0,0.0,,,
,2022,STANFORD UNIVERSITY,0,11.0,0.0,3.85,0.0,,,
,2022,STETSON UNIVERSITY,1,6.0,0.0,3.04,0.0,,,
,2022,SUFFOLK UNIVERSITY,9,3.0,0.0,0.0,0.0,,,
,2022,SYRACUSE UNIVERSITY,11,0.0,0.0,0.0,0.0,,,
,2022,TEMPLE UNIVERSITY,1,3.0,0.0,0.0,0.0,,,
,2022,"TENNESSEE, UNIVERSITY OF",1,4.0,0.0,0.0,0.0,,,
,2022,TEXAS A&M UNIVERSITY,1,2.0,0.0,0.0,0.0,,,
,2022,"TEXAS AT AUSTIN, UNIVERSITY OF",2,5.0,0.0,0.0,0.0,,,
,2022,TEXAS SOUTHERN UNIVERSITY,6,9.0,0.0,2.89,0.0,,,
,2022,TEXAS TECH UNIVERSITY,1,3.0,0.0,0.0,0.0,,,
,2022,THOMAS M. COOLEY LAW SCHOOL,0,3.0,0.0,0.0,0.0,,,
,2022,"TOLEDO, UNIVERSITY OF",5,1.0,0.0,0.0,0.0,,,
,2022,TOURO UNIVERSITY,19,1.0,0.0,0.0,0.0,,,
,2022,TULANE UNIVERSITY,4,2.0,0.0,0.0,0.0,,,
,2022,"TULSA, UNIVERSITY OF",7,3.0,0.0,0.0,0.0,,,
,2022,UNIVERSITY OF BUFFALO-SUNY,4,5.0,0.0,0.0,0.0,,,
,2022,"UNIVERSITY OF CALIFORNIA COLLEGE OF THE LAW, SAN FRANCISCO",17,3.0,0.0,0.0,0.0,,,
,2022,UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW,2,1.0,0.0,0.0,0.0,,,
,2022,UNIVERSITY OF MASSACHUSETTS DARTMOUTH,4,0.0,0.0,0.0,0.0,,,
,2022,UNIVERSITY OF NEVADA - LAS VEGAS,5,14.0,3.04,2.85,2.7,,,
,2022,UNT DALLAS COLLEGE OF LAW,0,5.0,0.0,0.0,0.0,,,
,2022,"UTAH, UNIVERSITY OF",1,2.0,0.0,0.0,0.0,,,
,2022,VANDERBILT UNIVERSITY,2,15.0,3.74,3.54,3.35,,,
,2022,VERMONT LAW SCHOOL,4,0.0,0.0,0.0,0.0,,,
,2022,VILLANOVA UNIVERSITY,3,0.0,0.0,0.0,0.0,,,
,2022,"VIRGINIA, UNIVERSITY OF",1,0.0,0.0,0.0,0.0,,,
,2022,WAKE FOREST UNIVERSITY,8,0.0,0.0,0.0,0.0,,,
,2022,WASHBURN UNIVERSITY,1,4.0,0.0,0.0,0.0,,,
,2022,WASHINGTON AND LEE UNIVERSITY,5,0.0,0.0,0.0,0.0,,,
,2022,WASHINGTON UNIVERSITY,4,10.0,0.0,3.39,0.0,,,
,2022,"WASHINGTON, UNIVERSITY OF",4,12.0,3.64,3.48,3.24,,,
,2022,WAYNE STATE UNIVERSITY,4,7.0,0.0,3.16,0.0,,,
,2022,WEST VIRGINIA UNIVERSITY,1,0.0,0.0,0.0,0.0,,,
,2022,WESTERN NEW ENGLAND UNIVERSITY,2,1.0,0.0,0.0,0.0,,,
,2022,WESTERN STATE COLLEGE OF LAW,4,6.0,0.0,3.18,0.0,,,
,2022,WIDENER UNIVERSITY-DELAWARE,16,0.0,0.0,0.0,0.0,,,
,2022,WIDENER-COMMONWEALTH,10,1.0,0.0,0.0,0.0,,,
,2022,WILLAMETTE UNIVERSITY,4,2.0,0.0,0.0,0.0,,,
,2022,WILLIAM AND MARY LAW SCHOOL,3,3.0,0.0,0.0,0.0,,,
,2022,"WISCONSIN, UNIVERSITY OF",3,7.0,0.0,3.32,0.0,,,
,2022,"WYOMING, UNIVERSITY OF",2,3.0,0.0,0.0,0.0,,,
,2022,YALE UNIVERSITY,0,9.0,0.0,3.96,0.0,,,
"Akron, The University of",2023,,2,,0.0,,,0.0,0.0,0.0
"Alabama, The University of",2023,,2,,0.0,,,6.0,3.55,0.0
Albany Law School,2023,,5,,0.0,,,1.0,0.0,0.0
American University,2023,,31,,0.0,,,11.0,3.05,0.0
Appalachian School of Law,2023,,3,,0.0,,,1.0,0.0,0.0
Arizona State University,2023,,10,,3.43,,,13.0,3.39,3.32
"Arizona, The University of",2023,,5,,0.0,,,6.0,3.17,0.0
"Arkansas at Little Rock, University of",2023,,5,,0.0,,,5.0,0.0,0.0
"Arkansas, University of",2023,,0,,0.0,,,5.0,3.13,0.0
Atlanta's John Marshall Law School,2023,,0,,0.0,,,1.0,0.0,0.0
Ave Maria School of Law,2023,,0,,0.0,,,1.0,0.0,0.0
"Baltimore, University of",2023,,3,,0.0,,,0.0,0.0,0.0
Barry University,2023,,17,,0.0,,,2.0,0.0,0.0
Baylor University,2023,,2,,0.0,,,0.0,0.0,0.0
Belmont University,2023,,0,,0.0,,,1.0,0.0,0.0
Boston College,2023,,7,,0.0,,,6.0,3.59,0.0
Boston University,2023,,15,,0.0,,,9.0,3.49,0.0
Brigham Young University,2023,,0,,0.0,,,0.0,0.0,0.0
Brooklyn Law School,2023,,21,,0.0,,,10.0,3.09,0.0
"Buffalo, University at",2023,,4,,0.0,,,2.0,0.0,0.0
California Western School of Law,2023,,7,,0.0,,,1.0,0.0,0.0
"California-Berkeley, University of",2023,,5,,3.97,,,18.0,3.87,3.76
"California-Davis, University of",2023,,8,,0.0,,,4.0,0.0,0.0
"California-Irvine, University of",2023,,13,,0.0,,,1.0,0.0,0.0
"California-Los Angeles, University of",2023,,4,,3.84,,,31.0,3.76,3.59
"California-San Francisco, University of",2023,,20,,0.0,,,4.0,0.0,0.0
Campbell University,2023,,2,,0.0,,,2.0,0.0,0.0
Capital University Law School,2023,,3,,0.0,,,0.0,0.0,0.0
"Cardozo, Yeshiva University",2023,,7,,0.0,,,4.0,0.0,0.0
Case Western Reserve University,2023,,5,,0.0,,,2.0,0.0,0.0
"Catholic University of America, The",2023,,7,,0.0,,,0.0,0.0,0.0
Chapman University,2023,,6,,0.0,,,5.0,3.18,0.0
Charleston School of Law,2023,,4,,0.0,,,1.0,0.0,0.0
"Chicago, The University of",2023,,3,,3.91,,,16.0,3.84,3.78
"Chicago-Kent, Illinois Institute of Technology",2023,,3,,0.0,,,5.0,0.0,0.0
"Cincinnati, University of",2023,,0,,0.0,,,1.0,0.0,0.0
"City University of New York, University of",2023,,6,,0.0,,,0.0,0.0,0.0
Cleveland State University,2023,,4,,0.0,,,3.0,0.0,0.0
"Colorado, University of",2023,,4,,0.0,,,0.0,0.0,0.0
Columbia University,2023,,0,,3.89,,,59.0,3.83,3.72
"Connecticut, University of",2023,,1,,0.0,,,2.0,0.0,0.0
Cooley Law School,2023,,6,,0.0,,,0.0,0.0,0.0
Cornell University,2023,,7,,0.0,,,2.0,0.0,0.0
Creighton University,2023,,2,,0.0,,,0.0,0.0,0.0
"Dayton, University of",2023,,2,,0.0,,,1.0,0.0,0.0
"Denver, University of",2023,,1,,0.0,,,4.0,0.0,0.0
DePaul University,2023,,9,,0.0,,,2.0,0.0,0.0
"Detroit Mercy, University of",2023,,12,,0.0,,,0.0,0.0,0.0
"District of Columbia, University of",2023,,4,,0.0,,,1.0,0.0,0.0
Drake University,2023,,1,,0.0,,,0.0,0.0,0.0
Drexel University,2023,,1,,0.0,,,4.0,0.0,0.0
Duke University,2023,,1,,0.0,,,0.0,0.0,0.0
Duquesne University,2023,,0,,0.0,,,1.0,0.0,0.0
Elon University,2023,,2,,0.0,,,2.0,0.0,0.0
Emory University,2023,,6,,0.0,,,4.0,0.0,0.0
Faulkner University,2023,,5,,0.0,,,1.0,0.0,0.0
Florida A&M University,2023,,1,,0.0,,,0.0,0.0,0.0
Florida International University,2023,,5,,3.43,,,18.0,3.33,3.17
Florida State University,2023,,2,,3.73,,,17.0,3.56,3.17
