SchoolName,SchoolYear,school list,Full Time Resident Semester,FTRS Annual Fees,Full Time Non resident Semester,FTNRS Annual Fees,Part Time Resident Semester,PTRS Annual Fees,Part Time Non resident Semester,PTNRS Annual Fees,Full Time Resident Credit,FTRSPerCredit Annual Fees,Full Time Non resident Credit,FTNRSPerCredit Annual Fees,Part Time Resident Credit,PTRSPerCredit Annual Fees,Part Time Non resident Credit,PTNRSPerCredit Annual Fees,Other Semester,Other Semester Annual Fees,Other Credit,Other Per Credit Annual Fees,Tuition Guarantee Program,Living On Campus,Living Off Campus,Living At Home,19-20 Entering scholarships,19-20 Reduced/Eliminated Scholarships,18-19 Entering scholarships,18-19 Reduced/Eliminated Scholarships,17-18 Entering scholarships,17-18 Reduced/Eliminated Scholarships,FT_Resident_Semester,FTRS_AnnualFees,FT_NonResident_Semester,FTNRS_AnnualFees,PT_Resident_Semester,PTRS_AnnualFees,PT_NonResident_Semester,PTNRS_AnnualFees,FT_Resident_Credit,FTRS_PerCredit_AnnualFees,FT_NonResident_Credit,FTRS_PerCredit_AnnualFees1,PT_Resident_Credit,PTRS_PerCredit_AnnualFees,PT_NonResident_Credit,PTNRS_PerCredit_AnnualFees,Others_Semesters,Others_Semesters_AnnualFees,Others_Credit,Others_PerCredit_AnnualFees,Tuition_Guarantee_Program,Living_On_Campus,Living_Off_Campus,Living_At_Home,OfferScholorships,EnteringScholarships_22_23,ReducedScholarships_22_23,EnteringScholarships_21_22,ReducedScholarships_21_22,EnteringScholarships_20_21,ReducedScholarships_20_21,EnteringScholarships_23_24,ReducedScholarships_23_24,FT_Resident_Annual,FT_NonResident_Annual,PT_Resident_Annual,PT_NonResident_Annual,Others_Annual,Others_Annual_AnnualFees,Living_At_Military,EnteringScholarships_24_25,ReducedScholarships_24_25
,2022,CLEVELAND STATE UNIVERSITY,"27,778","1,674","27,878","1,674",0,0,0,0,"1,068","1,674","1,072","1,674","1,068",0,"1,072",0,0,0,0,0,No,"20,472","20,472","20,472",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,"COLORADO, UNIVERSITY OF","31,518","1,909","38,700","1,909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,"24,830","24,514","13,778",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,COLUMBIA UNIVERSITY,"75,572","2,706","75,572","2,706",0,0,0,0,"3,779","2,706","3,779","2,706",0,0,0,0,0,0,0,0,No,"27,878","27,878","7,020",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,"CONNECTICUT, UNIVERSITY OF","30,354","1,062","61,396","1,062",0,0,0,0,0,0,0,0,"1,059",784,"2,142",784,0,0,0,0,No,"21,760","21,760","10,908",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,CORNELL UNIVERSITY,"74,098",85,"74,098",85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,"23,520","23,520","23,520",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,CREIGHTON UNIVERSITY,0,0,0,0,0,0,0,0,"1,468","1,984","1,468","1,984","1,468",416,"1,468",416,0,0,0,0,No,"27,230","27,230","27,230",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,"DAYTON, UNIVERSITY OF",0,0,0,0,0,0,0,0,"1,274",418,"1,274",418,"1,500",675,"1,500",675,0,0,0,0,No,"18,500","18,500","18,500",93.0,24.0,123.0,32.0,96.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,"DENVER, UNIVERSITY OF","55,610",422,"55,610",422,"41,514",362,"41,514",362,"1,887",422,"1,887",422,"1,887",362,"1,887",362,0,0,0,0,No,"26,064","26,064","26,064",155.0,0.0,163.0,0.0,158.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,DEPAUL UNIVERSITY,"50,636",496,"50,636",496,"32,900",496,"32,900",496,0,0,0,0,0,0,0,0,0,0,0,0,No,"24,776","24,776","24,776",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,"DETROIT MERCY, UNIVERSITY OF",0,0,0,0,0,0,0,0,"1,523",134,"1,523",134,"1,523",134,"1,523",134,"26,200",0,0,0,No,0,"26,225",0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
