SchoolName,SchoolYear,Total # total  students #,Total # total of Students %,Total # of students FT #,Total # of students FT %,Total # of students PT #,Total # of students PT %,Total  # receiving grants total #,Total # receiving grants total %,Total # receiving grants FT #,Total # receiving grants FT %,Total # receiving grants PT #,Total # receiving grants PT %,Less than half tuition total #,Less than half tuition total %,Less than half tuition FT #,Less than half tuition FT %,Less than half tuition PT #,Less than half tuition PT %,Half to full tuition total #,Half to full tuition total %,half to full tuition FT #,half to full tuition FT %,half to full tuition PT #,half to full tuition PT %,Full tuition total #,Full tuition total %,Full tuition FT #,Full tuition FT %,Full tuition PT #,Full tuition PT %,More than full tuition total #,More than full tuition total %,More than full tuition FT #,More than full tuition FT %,More than full tuition PT #,More than full tuition PT %,FT 75th percentile grant amount,FT 50th percentile grant amount,FT 25th percentile grant amount,PT 75th percentile grant amount,PT 50th percentile grant amount,PT 25th percentile grant amount,Total Number # of Students Total #,Total Percentage # of Students Total %,Total Number # of Students FT #,Total Percentage # of Students FT %,Total Number # of Students PT #,Total Percentage # of Students PT %,Total Number # of Recieving Grants Total #,Total Percentage # of Recieving Grants Total %,Total Number # of Recieving Grants FT #,Total Percentage # of Recieving Grants FT %,Total Number # of Recieving Grants PT #,Total Percentage # of Recieving Grants PT %,Less than half tuition Total Number #,Less than half tuition Total Percentage %,Less than half tuition FT Number #,Less than half tuition FT Percentage %,Less than half tuition PT Number #,Less than half tuition PT Percentage %,Half to full tuition total Number #,Half to full tuition total Percentage %,Half to full tuition FT Number #,Half to full tuition FT Percentage %,Half to full tuition PT Number #,Half to full tuition PT Percentage %,Full tuition total Number #,Full tuition total Percentage %,Full tuition FT Number #,Full tuition FT Percentage %,Full tuition PT Number #,Full tuition PT Percentage %,More than full tuition total Number #,More than full tuition total Percentage %,More than full tuition FT Number #,More than full tuition FT Percentage %,More than full tuition PT Number #,More than full tuition PT Percentage %
American University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,000","$40,000","$40,000","$32,000","$32,000","$32,000",1232.0,100.0,1033.0,84.0,199.0,16.0,732.0,59.0,615.0,60.0,117.0,59.0,161.0,13.0,140.0,14.0,21.0,11.0,493.0,40.0,408.0,39.0,85.0,43.0,68.0,6.0,57.0,6.0,11.0,6.0,10.0,1.0,10.0,1.0,0.0,0.0
Appalachian School of Law,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,600","$10,250","$5,500",$0,$0,$0,163.0,100.0,163.0,100.0,0.0,0.0,141.0,87.0,141.0,87.0,0.0,,89.0,55.0,89.0,55.0,0.0,,31.0,19.0,31.0,19.0,0.0,,11.0,7.0,11.0,7.0,0.0,,10.0,6.0,10.0,6.0,0.0,
Arizona State University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,336","$20,000","$5,000",$0,$0,$0,749.0,100.0,749.0,100.0,0.0,0.0,722.0,96.0,722.0,96.0,0.0,,332.0,44.0,332.0,44.0,0.0,,293.0,39.0,293.0,39.0,0.0,,79.0,11.0,79.0,11.0,0.0,,18.0,2.0,18.0,2.0,0.0,
"Arizona, The University of",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,870","$25,235","$15,018",$0,$0,$0,355.0,100.0,355.0,100.0,0.0,0.0,311.0,88.0,311.0,88.0,0.0,,39.0,11.0,39.0,11.0,0.0,,115.0,32.0,115.0,32.0,0.0,,68.0,19.0,68.0,19.0,0.0,,89.0,25.0,89.0,25.0,0.0,
"Arkansas at Little Rock, University of",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,770","$7,461","$3,443","$7,891","$5,295","$2,639",420.0,100.0,328.0,78.0,92.0,22.0,251.0,60.0,196.0,60.0,55.0,60.0,117.0,28.0,90.0,27.0,27.0,29.0,97.0,23.0,78.0,24.0,19.0,21.0,24.0,6.0,18.0,5.0,6.0,7.0,13.0,3.0,10.0,3.0,3.0,3.0
"Arkansas, University of",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,000","$9,000","$5,500",$0,$0,$0,368.0,100.0,368.0,100.0,0.0,0.0,320.0,87.0,320.0,87.0,0.0,,177.0,48.0,177.0,48.0,0.0,,135.0,37.0,135.0,37.0,0.0,,0.0,0.0,0.0,0.0,0.0,,8.0,2.0,8.0,2.0,0.0,
Atlanta's John Marshall Law School,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,000","$4,500","$1,125","$3,619","$1,193",$250,373.0,100.0,262.0,70.0,111.0,30.0,314.0,84.0,227.0,87.0,87.0,78.0,297.0,80.0,218.0,83.0,79.0,71.0,1.0,0.0,0.0,0.0,1.0,1.0,16.0,4.0,9.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Ave Maria School of Law,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,400","$30,000","$7,365",$0,$0,$0,337.0,100.0,337.0,100.0,0.0,0.0,247.0,73.0,247.0,73.0,0.0,,73.0,22.0,73.0,22.0,0.0,,162.0,48.0,162.0,48.0,0.0,,0.0,0.0,0.0,0.0,0.0,,12.0,4.0,12.0,4.0,0.0,
"Baltimore, University of",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,000","$15,000","$7,648","$15,000","$75,000","$4,348",700.0,100.0,510.0,73.0,190.0,27.0,471.0,67.0,364.0,71.0,107.0,56.0,318.0,45.0,246.0,48.0,72.0,38.0,151.0,22.0,117.0,23.0,34.0,18.0,5.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Barry University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,000","$16,000","$6,500","$15,863","$10,597","$3,000",775.0,100.0,590.0,76.0,185.0,24.0,609.0,79.0,487.0,83.0,122.0,66.0,448.0,58.0,359.0,61.0,89.0,48.0,150.0,19.0,119.0,20.0,31.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,9.0,2.0,2.0,1.0
Baylor University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$57,873","$33,518","$18,000",$0,$0,$0,451.0,100.0,451.0,100.0,0.0,0.0,437.0,97.0,437.0,97.0,0.0,,186.0,41.0,186.0,41.0,0.0,,131.0,29.0,131.0,29.0,0.0,,89.0,20.0,89.0,20.0,0.0,,31.0,7.0,31.0,7.0,0.0,
Belmont University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$54,280","$40,710","$27,140",$0,$0,$0,367.0,100.0,367.0,100.0,0.0,0.0,227.0,62.0,227.0,62.0,0.0,,34.0,9.0,34.0,9.0,0.0,,89.0,24.0,89.0,24.0,0.0,,104.0,28.0,104.0,28.0,0.0,,0.0,0.0,0.0,0.0,0.0,
Boston College,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,000","$24,000","$20,000",$0,$0,$0,635.0,100.0,635.0,100.0,0.0,0.0,566.0,89.0,566.0,89.0,0.0,,473.0,74.0,473.0,74.0,0.0,,85.0,13.0,85.0,13.0,0.0,,8.0,1.0,8.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,
Boston University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,000","$29,000","$20,000",$0,$0,$0,662.0,100.0,662.0,100.0,0.0,0.0,604.0,91.0,604.0,91.0,0.0,,382.0,58.0,382.0,58.0,0.0,,179.0,27.0,179.0,27.0,0.0,,42.0,6.0,42.0,6.0,0.0,,1.0,0.0,1.0,0.0,0.0,
Brigham Young University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,528","$11,646","$3,882",$0,$0,$0,350.0,100.0,350.0,100.0,0.0,0.0,344.0,98.0,344.0,98.0,0.0,,138.0,39.0,138.0,39.0,0.0,,48.0,14.0,48.0,14.0,0.0,,72.0,21.0,72.0,21.0,0.0,,86.0,25.0,86.0,25.0,0.0,
Brooklyn Law School,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,000","$34,000","$25,000","$38,000","$28,792","$18,023",1114.0,100.0,1021.0,92.0,93.0,8.0,1017.0,91.0,938.0,92.0,79.0,85.0,503.0,45.0,466.0,46.0,37.0,40.0,466.0,42.0,427.0,42.0,39.0,42.0,41.0,4.0,40.0,4.0,1.0,1.0,7.0,1.0,5.0,0.0,2.0,2.0
"Buffalo, University at",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,500","$7,500","$3,500",$0,$0,$0,412.0,100.0,412.0,100.0,0.0,0.0,212.0,51.0,212.0,51.0,0.0,,168.0,41.0,168.0,41.0,0.0,,44.0,11.0,44.0,11.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
California Western School of Law,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$53,040","$37,440","$18,720","$35,010","$23,340","$9,336",650.0,100.0,564.0,87.0,86.0,13.0,392.0,60.0,346.0,61.0,46.0,53.0,157.0,24.0,141.0,25.0,16.0,19.0,158.0,24.0,137.0,24.0,21.0,24.0,77.0,12.0,68.0,12.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
"California-Berkeley, University of",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,245","$31,158","$20,000",$0,$0,$0,1012.0,100.0,1012.0,100.0,0.0,0.0,869.0,86.0,869.0,86.0,0.0,,491.0,49.0,491.0,49.0,0.0,,283.0,28.0,283.0,28.0,0.0,,4.0,0.0,4.0,0.0,0.0,,91.0,9.0,91.0,9.0,0.0,
"California-Davis, University of",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,000","$25,000","$14,500",$0,$0,$0,605.0,100.0,605.0,100.0,0.0,0.0,598.0,99.0,598.0,99.0,0.0,,350.0,58.0,350.0,58.0,0.0,,243.0,40.0,243.0,40.0,0.0,,0.0,0.0,0.0,0.0,0.0,,5.0,1.0,5.0,1.0,0.0,
"California-Irvine, University of",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,000","$25,000","$17,500",$0,$0,$0,474.0,100.0,474.0,100.0,0.0,0.0,451.0,95.0,451.0,95.0,0.0,,371.0,78.0,371.0,78.0,0.0,,80.0,17.0,80.0,17.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
"California-Los Angeles, University of",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,333","$24,456","$15,000",$0,$0,$0,994.0,100.0,994.0,100.0,0.0,0.0,825.0,83.0,825.0,83.0,0.0,,498.0,50.0,498.0,50.0,0.0,,240.0,24.0,240.0,24.0,0.0,,62.0,6.0,62.0,6.0,0.0,,25.0,3.0,25.0,3.0,0.0,
"California-San Francisco, University of",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,000","$20,000","$10,000",$0,$0,$0,1087.0,100.0,1087.0,100.0,0.0,0.0,936.0,86.0,936.0,86.0,0.0,,722.0,66.0,722.0,66.0,0.0,,202.0,19.0,202.0,19.0,0.0,,0.0,0.0,0.0,0.0,0.0,,12.0,1.0,12.0,1.0,0.0,
Campbell University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,850","$21,771","$15,000",$0,$0,$0,545.0,100.0,545.0,100.0,0.0,0.0,539.0,99.0,539.0,99.0,0.0,,348.0,64.0,348.0,64.0,0.0,,188.0,34.0,188.0,34.0,0.0,,1.0,0.0,1.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,
Capital University Law School,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,000","$21,000","$12,000","$18,313","$10,050","$6,356",461.0,100.0,366.0,79.0,95.0,21.0,444.0,96.0,348.0,95.0,96.0,101.0,263.0,57.0,196.0,54.0,67.0,71.0,181.0,39.0,152.0,42.0,29.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cardozo, Yeshiva University",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,000","$40,000","$30,000",$0,$0,$0,933.0,100.0,933.0,100.0,0.0,0.0,917.0,98.0,917.0,98.0,0.0,,423.0,45.0,423.0,45.0,0.0,,470.0,50.0,470.0,50.0,0.0,,23.0,2.0,23.0,2.0,0.0,,1.0,0.0,1.0,0.0,0.0,
Case Western Reserve University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,500","$42,500","$31,000","$2,200","$1,850","$1,300",508.0,100.0,476.0,94.0,32.0,6.0,496.0,98.0,464.0,97.0,32.0,100.0,108.0,21.0,98.0,21.0,10.0,31.0,388.0,76.0,366.0,77.0,22.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Catholic University of America, The",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,000","$26,000","$15,727","$32,503","$22,500","$8,906",374.0,100.0,273.0,73.0,101.0,27.0,369.0,99.0,271.0,99.0,98.0,97.0,185.0,49.0,141.0,52.0,44.0,44.0,183.0,49.0,129.0,47.0,54.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Chapman University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$64,500","$59,500","$35,000","$50,400","$50,400","$30,000",404.0,100.0,404.0,100.0,0.0,0.0,237.0,59.0,228.0,56.0,9.0,,49.0,12.0,48.0,12.0,1.0,,128.0,32.0,121.0,30.0,7.0,,0.0,0.0,0.0,0.0,0.0,,60.0,15.0,59.0,15.0,1.0,
Charleston School of Law,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,500","$20,000","$13,000",$0,$0,$0,697.0,100.0,697.0,100.0,0.0,0.0,661.0,95.0,661.0,95.0,0.0,,405.0,58.0,405.0,58.0,0.0,,236.0,34.0,236.0,34.0,0.0,,19.0,3.0,19.0,3.0,0.0,,1.0,0.0,1.0,0.0,0.0,
"Chicago, The University of",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000","$15,000","$10,000",$0,$0,$0,620.0,100.0,620.0,100.0,0.0,0.0,485.0,78.0,485.0,78.0,0.0,,396.0,64.0,396.0,64.0,0.0,,31.0,5.0,31.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,,58.0,9.0,58.0,9.0,0.0,
"Chicago-Kent, Illinois Institute of Technology",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,862","$35,000","$25,000","$32,405","$26,250","$15,000",728.0,100.0,619.0,85.0,109.0,15.0,669.0,92.0,585.0,95.0,84.0,77.0,192.0,26.0,169.0,27.0,23.0,21.0,448.0,62.0,388.0,63.0,60.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,4.0,28.0,5.0,1.0,1.0
"Cincinnati, University of",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,400","$19,000","$11,700",$0,$0,$0,374.0,100.0,374.0,100.0,0.0,0.0,375.0,100.0,375.0,100.0,0.0,,119.0,32.0,119.0,32.0,0.0,,215.0,57.0,215.0,57.0,0.0,,13.0,3.0,13.0,3.0,0.0,,28.0,7.0,28.0,7.0,0.0,
"City University of New York, University of",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,000","$8,000","$8,000","$6,000","$6,000","$6,000",670.0,100.0,453.0,68.0,217.0,32.0,112.0,17.0,63.0,14.0,49.0,23.0,73.0,11.0,63.0,14.0,10.0,5.0,38.0,6.0,0.0,0.0,38.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Cleveland State University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,000","$11,000","$6,000","$6,000","$4,236","$3,000",467.0,100.0,316.0,68.0,151.0,32.0,456.0,98.0,314.0,99.0,142.0,94.0,321.0,69.0,186.0,59.0,135.0,89.0,134.0,29.0,127.0,40.0,7.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Colorado, University of",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,440","$15,000","$10,300",$0,$0,$0,511.0,100.0,511.0,100.0,0.0,0.0,444.0,87.0,444.0,87.0,0.0,,293.0,57.0,293.0,57.0,0.0,,134.0,26.0,134.0,26.0,0.0,,11.0,2.0,11.0,2.0,0.0,,6.0,1.0,6.0,1.0,0.0,
Columbia University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,000","$32,000","$20,000",$0,$0,$0,1353.0,100.0,1353.0,100.0,0.0,0.0,728.0,54.0,728.0,54.0,0.0,,486.0,36.0,486.0,36.0,0.0,,173.0,13.0,173.0,13.0,0.0,,67.0,5.0,67.0,5.0,0.0,,2.0,0.0,2.0,0.0,0.0,
"Connecticut, University of",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,034","$15,177","$10,000","$13,070","$10,000","$5,000",471.0,100.0,385.0,82.0,86.0,18.0,428.0,91.0,362.0,94.0,66.0,77.0,291.0,62.0,240.0,62.0,51.0,59.0,125.0,27.0,112.0,29.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,10.0,3.0,2.0,2.0
Cooley Law School,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,463","$13,746","$9,279","$14,220","$9,270","$4,635",457.0,100.0,163.0,36.0,294.0,64.0,260.0,57.0,74.0,45.0,186.0,63.0,195.0,43.0,52.0,32.0,143.0,49.0,59.0,13.0,20.0,12.0,39.0,13.0,6.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cornell University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,000","$30,000","$28,000",$0,$0,$0,600.0,100.0,600.0,100.0,0.0,0.0,544.0,91.0,544.0,91.0,0.0,,402.0,67.0,402.0,67.0,0.0,,133.0,22.0,133.0,22.0,0.0,,9.0,2.0,9.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,
Creighton University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,458","$25,600","$15,200",$0,$0,$0,384.0,100.0,384.0,100.0,0.0,0.0,343.0,89.0,343.0,89.0,0.0,,173.0,45.0,173.0,45.0,0.0,,109.0,28.0,109.0,28.0,0.0,,49.0,13.0,49.0,13.0,0.0,,12.0,3.0,12.0,3.0,0.0,
"Dayton, University of",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,000","$33,000","$28,000","$24,182","$19,092","$14,544",377.0,100.0,220.0,58.0,157.0,42.0,384.0,102.0,219.0,100.0,165.0,105.0,62.0,16.0,14.0,6.0,48.0,31.0,301.0,80.0,187.0,85.0,114.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,18.0,8.0,3.0,2.0
"Denver, University of",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,000","$30,000","$23,000","$30,000","$22,500","$17,250",866.0,100.0,686.0,79.0,180.0,21.0,679.0,78.0,558.0,81.0,121.0,67.0,349.0,40.0,287.0,42.0,62.0,34.0,202.0,23.0,160.0,23.0,42.0,23.0,98.0,11.0,85.0,12.0,13.0,7.0,30.0,3.0,26.0,4.0,4.0,2.0
DePaul University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,000","$34,950","$20,000","$20,000","$15,000","$12,000",495.0,100.0,416.0,84.0,79.0,16.0,491.0,99.0,414.0,100.0,77.0,97.0,190.0,38.0,150.0,36.0,40.0,51.0,294.0,59.0,257.0,62.0,37.0,47.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,6.0,1.0,0.0,0.0
"Detroit Mercy, University of",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,614","$18,636","$10,504","$23,912","$20,428","$8,316",628.0,100.0,597.0,95.0,31.0,5.0,364.0,58.0,345.0,58.0,19.0,61.0,178.0,28.0,167.0,28.0,11.0,35.0,180.0,29.0,173.0,29.0,7.0,23.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0,3.0
"District of Columbia, University of",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,436","$8,292","$5,458","$7,252","$4,922","$3,093",244.0,100.0,153.0,63.0,91.0,37.0,172.0,70.0,108.0,71.0,64.0,70.0,91.0,37.0,52.0,34.0,39.0,43.0,75.0,31.0,50.0,33.0,25.0,27.0,6.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drake University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,080","$31,000","$24,000",$0,$0,$0,349.0,100.0,349.0,100.0,0.0,0.0,286.0,82.0,286.0,82.0,0.0,,76.0,22.0,76.0,22.0,0.0,,179.0,51.0,179.0,51.0,0.0,,22.0,6.0,22.0,6.0,0.0,,9.0,3.0,9.0,3.0,0.0,
Drexel University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,000","$28,667","$13,000",$0,$0,$0,462.0,100.0,462.0,100.0,0.0,0.0,349.0,76.0,349.0,76.0,0.0,,168.0,36.0,168.0,36.0,0.0,,164.0,35.0,164.0,35.0,0.0,,1.0,0.0,1.0,0.0,0.0,,16.0,3.0,16.0,3.0,0.0,
Duke University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,000","$35,000","$27,000",$0,$0,$0,726.0,100.0,726.0,100.0,0.0,0.0,685.0,94.0,685.0,94.0,0.0,,487.0,67.0,487.0,67.0,0.0,,196.0,27.0,196.0,27.0,0.0,,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
Duquesne University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,000","$30,000","$20,000","$20,000","$10,000","$9,642",509.0,100.0,399.0,78.0,110.0,22.0,488.0,96.0,388.0,97.0,100.0,91.0,268.0,53.0,181.0,45.0,87.0,79.0,136.0,27.0,123.0,31.0,13.0,12.0,81.0,16.0,81.0,20.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0
Elon University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,543","$23,571","$11,429","$9,979","$8,316","$3,716",479.0,100.0,443.0,92.0,36.0,8.0,430.0,90.0,407.0,92.0,23.0,64.0,194.0,41.0,172.0,39.0,22.0,61.0,202.0,42.0,201.0,45.0,1.0,3.0,23.0,5.0,23.0,5.0,0.0,0.0,11.0,2.0,11.0,2.0,0.0,0.0
Emory University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,000","$36,000","$28,000",$0,$0,$0,758.0,100.0,758.0,100.0,0.0,0.0,744.0,98.0,744.0,98.0,0.0,,340.0,45.0,340.0,45.0,0.0,,394.0,52.0,394.0,52.0,0.0,,0.0,0.0,0.0,0.0,0.0,,10.0,1.0,10.0,1.0,0.0,
Faulkner University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,935","$15,960","$3,990",$0,$0,$0,342.0,100.0,342.0,100.0,0.0,0.0,246.0,72.0,246.0,72.0,0.0,,144.0,42.0,144.0,42.0,0.0,,102.0,30.0,102.0,30.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
Florida A&M University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,000","$7,500","$5,000","$6,600","$4,500","$3,300",336.0,100.0,274.0,82.0,62.0,18.0,150.0,45.0,123.0,45.0,27.0,44.0,78.0,23.0,60.0,22.0,18.0,29.0,52.0,15.0,45.0,16.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6.0,18.0,7.0,2.0,3.0
Florida International University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,716","$10,365","$7,000","$9,650","$4,113","$2,458",555.0,100.0,459.0,83.0,96.0,17.0,306.0,55.0,275.0,60.0,31.0,32.0,158.0,28.0,133.0,29.0,25.0,26.0,63.0,11.0,60.0,13.0,3.0,3.0,52.0,9.0,51.0,11.0,1.0,1.0,33.0,6.0,31.0,7.0,2.0,2.0
Florida State University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,640","$15,464","$5,737",$0,$0,$0,421.0,100.0,421.0,100.0,0.0,0.0,328.0,78.0,328.0,78.0,0.0,,107.0,25.0,107.0,25.0,0.0,,105.0,25.0,105.0,25.0,0.0,,50.0,12.0,50.0,12.0,0.0,,66.0,16.0,66.0,16.0,0.0,
"Florida, University of",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,804","$19,000","$6,000",$0,$0,$0,636.0,100.0,636.0,100.0,0.0,0.0,558.0,88.0,558.0,88.0,0.0,,215.0,34.0,215.0,34.0,0.0,,119.0,19.0,119.0,19.0,0.0,,85.0,13.0,85.0,13.0,0.0,,139.0,22.0,139.0,22.0,0.0,
Fordham University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,000","$35,000","$25,000","$30,000","$20,000","$10,000",1335.0,100.0,1134.0,85.0,201.0,15.0,1161.0,87.0,1014.0,89.0,147.0,73.0,693.0,52.0,586.0,52.0,107.0,53.0,468.0,35.0,428.0,38.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Mason University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,000","$21,000","$14,000","$15,000","$10,000","$7,000",437.0,100.0,336.0,77.0,101.0,23.0,365.0,84.0,285.0,85.0,80.0,79.0,138.0,32.0,97.0,29.0,41.0,41.0,201.0,46.0,170.0,51.0,31.0,31.0,23.0,5.0,15.0,4.0,8.0,8.0,3.0,1.0,3.0,1.0,0.0,0.0
"George Washington University, The",2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,000","$28,000","$20,000","$30,000","$20,000","$14,000",1679.0,100.0,1543.0,92.0,136.0,8.0,1296.0,77.0,1202.0,78.0,94.0,69.0,879.0,52.0,814.0,53.0,65.0,48.0,389.0,23.0,363.0,24.0,26.0,19.0,27.0,2.0,24.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
Georgetown University,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,500","$35,000","$25,000","$30,000","$22,500","$12,578",2228.0,100.0,2031.0,91.0,197.0,9.0,1348.0,61.0,1241.0,61.0,107.0,54.0,774.0,35.0,708.0,35.0,66.0,34.0,515.0,23.0,486.0,24.0,29.0,15.0,43.0,2.0,31.0,2.0,12.0,6.0,16.0,1.0,16.0,1.0,0.0,0.0
