SchoolName,SchoolYear,Total # total  students #,Total # total of Students %,Total # of students FT #,Total # of students FT %,Total # of students PT #,Total # of students PT %,Total  # receiving grants total #,Total # receiving grants total %,Total # receiving grants FT #,Total # receiving grants FT %,Total # receiving grants PT #,Total # receiving grants PT %,Less than half tuition total #,Less than half tuition total %,Less than half tuition FT #,Less than half tuition FT %,Less than half tuition PT #,Less than half tuition PT %,Half to full tuition total #,Half to full tuition total %,half to full tuition FT #,half to full tuition FT %,half to full tuition PT #,half to full tuition PT %,Full tuition total #,Full tuition total %,Full tuition FT #,Full tuition FT %,Full tuition PT #,Full tuition PT %,More than full tuition total #,More than full tuition total %,More than full tuition FT #,More than full tuition FT %,More than full tuition PT #,More than full tuition PT %,FT 75th percentile grant amount,FT 50th percentile grant amount,FT 25th percentile grant amount,PT 75th percentile grant amount,PT 50th percentile grant amount,PT 25th percentile grant amount,Total Number # of Students Total #,Total Percentage # of Students Total %,Total Number # of Students FT #,Total Percentage # of Students FT %,Total Number # of Students PT #,Total Percentage # of Students PT %,Total Number # of Recieving Grants Total #,Total Percentage # of Recieving Grants Total %,Total Number # of Recieving Grants FT #,Total Percentage # of Recieving Grants FT %,Total Number # of Recieving Grants PT #,Total Percentage # of Recieving Grants PT %,Less than half tuition Total Number #,Less than half tuition Total Percentage %,Less than half tuition FT Number #,Less than half tuition FT Percentage %,Less than half tuition PT Number #,Less than half tuition PT Percentage %,Half to full tuition total Number #,Half to full tuition total Percentage %,Half to full tuition FT Number #,Half to full tuition FT Percentage %,Half to full tuition PT Number #,Half to full tuition PT Percentage %,Full tuition total Number #,Full tuition total Percentage %,Full tuition FT Number #,Full tuition FT Percentage %,Full tuition PT Number #,Full tuition PT Percentage %,More than full tuition total Number #,More than full tuition total Percentage %,More than full tuition FT Number #,More than full tuition FT Percentage %,More than full tuition PT Number #,More than full tuition PT Percentage %
CHARLESTON SCHOOL OF LAW,2022,641.0,100.0,641.0,100.0,0.0,0.0,598.0,93.0,598.0,93.0,0.0,0.0,330.0,51.0,330.0,51.0,0.0,0.0,268.0,42.0,268.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"30,000","18,000","11,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHICAGO, UNIVERSITY OF",2022,626.0,100.0,626.0,100.0,0.0,0.0,501.0,80.0,501.0,80.0,0.0,0.0,414.0,66.0,414.0,66.0,0.0,0.0,36.0,6.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,8.0,51.0,8.0,0.0,0.0,"25,000","16,000","10,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO-KENT COLLEGE OF LAW-IIT,2022,764.0,100.0,659.0,86.0,105.0,14.0,700.0,92.0,601.0,91.0,99.0,94.0,224.0,29.0,192.0,29.0,32.0,30.0,439.0,57.0,383.0,58.0,56.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,5.0,26.0,4.0,11.0,10.0,"43,390","33,000","20,830","32,950","22,500","15,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CINCINNATI, UNIVERSITY OF",2022,392.0,100.0,392.0,100.0,0.0,0.0,372.0,95.0,372.0,95.0,0.0,0.0,102.0,26.0,102.0,26.0,0.0,0.0,227.0,58.0,227.0,58.0,0.0,0.0,40.0,10.0,40.0,10.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,"21,500","17,510","11,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITY UNIVERSITY OF NEW YORK,2022,696.0,100.0,471.0,68.0,225.0,32.0,282.0,41.0,229.0,49.0,53.0,24.0,186.0,27.0,160.0,34.0,26.0,12.0,66.0,9.0,43.0,9.0,23.0,10.0,17.0,2.0,17.0,4.0,0.0,0.0,13.0,2.0,9.0,2.0,4.0,2.0,"9,021","6,000","3,300","6,000","6,000","1,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEVELAND STATE UNIVERSITY,2022,420.0,100.0,331.0,79.0,89.0,21.0,316.0,75.0,266.0,80.0,50.0,56.0,156.0,37.0,126.0,38.0,30.0,34.0,133.0,32.0,115.0,35.0,18.0,20.0,27.0,6.0,25.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,"21,655","14,437","7,218","16,659","11,106","5,534",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COLORADO, UNIVERSITY OF",2022,512.0,100.0,512.0,100.0,0.0,0.0,417.0,81.0,417.0,81.0,0.0,0.0,276.0,54.0,276.0,54.0,0.0,0.0,131.0,26.0,131.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,10.0,2.0,0.0,0.0,"24,000","11,500","9,305",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBIA UNIVERSITY,2022,1293.0,100.0,1293.0,100.0,0.0,0.0,841.0,65.0,841.0,65.0,0.0,0.0,532.0,41.0,532.0,41.0,0.0,0.0,248.0,19.0,248.0,19.0,0.0,0.0,11.0,1.0,11.0,1.0,0.0,0.0,50.0,4.0,50.0,4.0,0.0,0.0,"40,000","28,000","16,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONNECTICUT, UNIVERSITY OF",2022,486.0,100.0,395.0,81.0,91.0,19.0,425.0,87.0,362.0,92.0,63.0,69.0,270.0,56.0,234.0,59.0,36.0,40.0,147.0,30.0,122.0,31.0,25.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,2.0,2.0,2.0,"22,766","15,177","11,525","18,620","11,000","10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORNELL UNIVERSITY,2022,580.0,100.0,580.0,100.0,0.0,0.0,496.0,86.0,496.0,86.0,0.0,0.0,385.0,66.0,385.0,66.0,0.0,0.0,99.0,17.0,99.0,17.0,0.0,0.0,12.0,2.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35,000","25,000","20,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
