School Name,SchoolYear,Graduate Year,No. of Graduates,No. of Takers,No. of Passers,%Passers,No. of Graduates with no information,No. of Graduates who did not take the bar,No. of Graduates with Alternative Pathways*,Pass % (including Alternative Pathways),2020 Graduates,2020 Takers,2020 Passers,2020 Graduates with no information,2020 Graduates who did not take the bar,2020 Graduates with Diploma Privilege*,Pass % (including Diploma Privilege),2021 Graduates,2021 Takers,2021 Passers,2021 Graduates with no information,2021 Graduates who did not take the bar,2021 Graduates with Alternative Pathways*,2022 Graduates,2022 Takers,2022 Passers,2022 Graduates with no information,2022 Graduates who did not take the bar,2022 Graduates with Alternative Pathways*
"UNIVERSITY OF CALIFORNIA COLLEGE OF THE LAW, SAN FRANCISCO",2022,2019.0,312.0,304.0,285.0,93.75%,8.0,,,93.75%,,,,,,,,,,,,,,,,,,,
UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW,2022,2019.0,219.0,210.0,164.0,78.10%,4.0,5.0,0.0,78.10%,,,,,,,,,,,,,,,,,,,
UNIVERSITY OF MASSACHUSETTS DARTMOUTH,2022,2019.0,47.0,43.0,36.0,83.72%,0.0,4.0,0.0,83.72%,,,,,,,,,,,,,,,,,,,
UNIVERSITY OF NEVADA - LAS VEGAS,2022,2019.0,117.0,112.0,105.0,93.75%,0.0,5.0,0.0,93.75%,,,,,,,,,,,,,,,,,,,
UNT DALLAS COLLEGE OF LAW,2022,2019.0,113.0,108.0,87.0,80.56%,0.0,5.0,0.0,80.56%,,,,,,,,,,,,,,,,,,,
"UTAH, UNIVERSITY OF",2022,2019.0,81.0,79.0,76.0,96.20%,0.0,2.0,0.0,96.20%,,,,,,,,,,,,,,,,,,,
VANDERBILT UNIVERSITY,2022,2019.0,209.0,204.0,198.0,97.06%,2.0,3.0,0.0,97.06%,,,,,,,,,,,,,,,,,,,
VERMONT LAW SCHOOL,2022,2019.0,121.0,114.0,77.0,67.54%,3.0,4.0,0.0,67.54%,,,,,,,,,,,,,,,,,,,
VILLANOVA UNIVERSITY,2022,2019.0,212.0,211.0,198.0,93.84%,0.0,1.0,0.0,93.84%,,,,,,,,,,,,,,,,,,,
"VIRGINIA, UNIVERSITY OF",2022,2019.0,288.0,286.0,284.0,99.30%,0.0,2.0,0.0,99.30%,,,,,,,,,,,,,,,,,,,
WAKE FOREST UNIVERSITY,2022,2019.0,158.0,151.0,144.0,95.36%,0.0,7.0,0.0,95.36%,,,,,,,,,,,,,,,,,,,
WASHBURN UNIVERSITY,2022,2019.0,103.0,101.0,93.0,92.08%,0.0,2.0,0.0,92.08%,,,,,,,,,,,,,,,,,,,
WASHINGTON AND LEE UNIVERSITY,2022,2019.0,109.0,107.0,104.0,97.20%,0.0,2.0,0.0,97.20%,,,,,,,,,,,,,,,,,,,
WASHINGTON UNIVERSITY,2022,2019.0,230.0,222.0,216.0,97.30%,2.0,6.0,0.0,97.30%,,,,,,,,,,,,,,,,,,,
"WASHINGTON, UNIVERSITY OF",2022,2019.0,159.0,153.0,140.0,91.50%,0.0,5.0,6.0,91.82%,,,,,,,,,,,,,,,,,,,
WAYNE STATE UNIVERSITY,2022,2019.0,133.0,127.0,118.0,92.91%,0.0,6.0,0.0,92.91%,,,,,,,,,,,,,,,,,,,
WEST VIRGINIA UNIVERSITY,2022,2019.0,102.0,96.0,79.0,82.29%,0.0,6.0,0.0,82.29%,,,,,,,,,,,,,,,,,,,
WESTERN MICHIGAN UNIVERSITY,2022,2019.0,279.0,247.0,147.0,59.51%,0.0,32.0,0.0,59.51%,,,,,,,,,,,,,,,,,,,
WESTERN NEW ENGLAND UNIVERSITY,2022,2019.0,53.0,50.0,37.0,74.00%,0.0,3.0,0.0,74.00%,,,,,,,,,,,,,,,,,,,
WESTERN STATE COLLEGE OF LAW,2022,2019.0,114.0,110.0,93.0,84.55%,0.0,4.0,0.0,84.55%,,,,,,,,,,,,,,,,,,,
WIDENER UNIVERSITY-DELAWARE,2022,2019.0,113.0,108.0,91.0,84.26%,0.0,5.0,0.0,84.26%,,,,,,,,,,,,,,,,,,,
WIDENER-COMMONWEALTH,2022,2019.0,80.0,78.0,61.0,78.21%,0.0,2.0,0.0,78.21%,,,,,,,,,,,,,,,,,,,
WILLAMETTE UNIVERSITY,2022,2019.0,87.0,80.0,76.0,95.00%,0.0,7.0,0.0,95.00%,,,,,,,,,,,,,,,,,,,
WILLIAM AND MARY LAW SCHOOL,2022,2019.0,229.0,215.0,206.0,95.81%,6.0,8.0,0.0,95.81%,,,,,,,,,,,,,,,,,,,
"WISCONSIN, UNIVERSITY OF",2022,2019.0,151.0,6.0,5.0,83.33%,0.0,145.0,144.0,99.33%,,,,,,,,,,,,,,,,,,,
"WYOMING, UNIVERSITY OF",2022,2019.0,73.0,71.0,65.0,91.55%,0.0,2.0,0.0,91.55%,,,,,,,,,,,,,,,,,,,
YALE UNIVERSITY,2022,2019.0,214.0,208.0,206.0,99.04%,0.0,6.0,0.0,99.04%,,,,,,,,,,,,,,,,,,,
*Alternative Pathways refers to graduates who secure non-temporary licensure without sitting for a bar exam.,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Akron, The University of",2023,,,,,84.83%,,,,,153.0,145.0,123.0,0.0,8.0,0.0,84.83%,,,,,,,,,,,,
"Alabama, The University of",2023,,,,,99.21%,,,,,128.0,126.0,125.0,2.0,0.0,0.0,99.21%,,,,,,,,,,,,
Albany Law School,2023,,,,,92.67%,,,,,151.0,150.0,139.0,0.0,1.0,0.0,92.67%,,,,,,,,,,,,
American University,2023,,,,,89.57%,,,,,379.0,345.0,309.0,,34.0,,89.57%,,,,,,,,,,,,
Appalachian School of Law,2023,,,,,71.43%,,,,,45.0,42.0,30.0,2.0,1.0,0.0,71.43%,,,,,,,,,,,,
Arizona State University,2023,,,,,92.06%,,,,,262.0,252.0,232.0,3.0,7.0,0.0,92.06%,,,,,,,,,,,,
"Arizona, The University of",2023,,,,,83.33%,,,,,93.0,84.0,70.0,0.0,9.0,0.0,83.33%,,,,,,,,,,,,
"Arkansas at Little Rock, University of",2023,,,,,90.65%,,,,,113.0,107.0,97.0,0.0,6.0,0.0,90.65%,,,,,,,,,,,,
"Arkansas, University of",2023,,,,,94.59%,,,,,111.0,111.0,105.0,0.0,0.0,0.0,94.59%,,,,,,,,,,,,
Atlanta's John Marshall Law School,2023,,,,,78.49%,,,,,101.0,93.0,73.0,2.0,6.0,0.0,78.49%,,,,,,,,,,,,
Ave Maria School of Law,2023,,,,,88.41%,,,,,72.0,69.0,61.0,0.0,3.0,0.0,88.41%,,,,,,,,,,,,
"Baltimore, University of",2023,,,,,85.03%,,,,,168.0,147.0,125.0,0.0,21.0,0.0,85.03%,,,,,,,,,,,,
Barry University,2023,,,,,79.53%,,,,,187.0,171.0,136.0,5.0,11.0,0.0,79.53%,,,,,,,,,,,,
Baylor University,2023,,,,,99.23%,,,,,134.0,130.0,129.0,0.0,3.0,1.0,99.24%,,,,,,,,,,,,
Belmont University,2023,,,,,94.95%,,,,,99.0,99.0,94.0,0.0,0.0,0.0,94.95%,,,,,,,,,,,,
Boston College,2023,,,,,97.07%,,,,,244.0,239.0,232.0,5.0,7.0,2.0,97.10%,,,,,,,,,,,,
Boston University,2023,,,,,98.64%,,,,,227.0,221.0,218.0,,6.0,1.0,98.65%,,,,,,,,,,,,
Brigham Young University,2023,,,,,100.00%,,,,,97.0,42.0,42.0,1.0,54.0,46.0,100.00%,,,,,,,,,,,,
Brooklyn Law School,2023,,,,,90.25%,,,,,326.0,318.0,287.0,3.0,5.0,2.0,90.31%,,,,,,,,,,,,
"Buffalo, University at",2023,,,,,91.55%,,,,,144.0,142.0,130.0,1.0,1.0,0.0,91.55%,,,,,,,,,,,,
California Western School of Law,2023,,,,,83.84%,,,,,207.0,198.0,166.0,0.0,9.0,0.0,83.84%,,,,,,,,,,,,
"California-Berkeley, University of",2023,,,,,99.36%,,,,,329.0,313.0,311.0,0.0,14.0,9.0,99.38%,,,,,,,,,,,,
"California-Davis, University of",2023,,,,,90.97%,,,,,148.0,144.0,131.0,3.0,1.0,0.0,90.97%,,,,,,,,,,,,
"California-Irvine, University of",2023,,,,,95.52%,,,,,141.0,134.0,128.0,0.0,5.0,2.0,95.59%,,,,,,,,,,,,
"California-Los Angeles, University of",2023,,,,,99.00%,,,,,314.0,300.0,297.0,10.0,4.0,4.0,99.01%,,,,,,,,,,,,
"California-San Francisco, University of",2023,,,,,91.58%,,,,,295.0,285.0,261.0,7.0,3.0,3.0,91.67%,,,,,,,,,,,,
Campbell University,2023,,,,,95.59%,,,,,141.0,136.0,130.0,0.0,5.0,0.0,95.59%,,,,,,,,,,,,
Capital University Law School,2023,,,,,91.35%,,,,,113.0,104.0,95.0,0.0,9.0,0.0,91.35%,,,,,,,,,,,,
"Cardozo, Yeshiva University",2023,,,,,95.54%,,,,,349.0,336.0,321.0,0.0,13.0,2.0,95.56%,,,,,,,,,,,,
Case Western Reserve University,2023,,,,,94.34%,,,,,118.0,106.0,100.0,0.0,12.0,1.0,94.39%,,,,,,,,,,,,
"Catholic University of America, The",2023,,,,,94.19%,,,,,96.0,86.0,81.0,5.0,5.0,3.0,94.38%,,,,,,,,,,,,
Chapman University,2023,,,,,91.72%,,,,,145.0,145.0,133.0,0.0,0.0,0.0,91.72%,,,,,,,,,,,,
Charleston School of Law,2023,,,,,78.50%,,,,,221.0,214.0,168.0,4.0,3.0,0.0,78.50%,,,,,,,,,,,,
"Chicago, The University of",2023,,,,,100.00%,,,,,202.0,195.0,195.0,0.0,7.0,1.0,100.00%,,,,,,,,,,,,
"Chicago-Kent, Illinois Institute of Technology",2023,,,,,88.73%,,,,,217.0,204.0,181.0,13.0,0.0,0.0,88.73%,,,,,,,,,,,,
"Cincinnati, University of",2023,,,,,94.68%,,,,,95.0,94.0,89.0,0.0,1.0,0.0,94.68%,,,,,,,,,,,,
"City University of New York, University of",2023,,,,,84.51%,,,,,147.0,142.0,120.0,0.0,5.0,0.0,84.51%,,,,,,,,,,,,
Cleveland State University,2023,,,,,88.17%,,,,,99.0,93.0,82.0,0.0,6.0,0.0,88.17%,,,,,,,,,,,,
"Colorado, University of",2023,,,,,97.65%,,,,,182.0,170.0,166.0,0.0,12.0,1.0,97.66%,,,,,,,,,,,,
Columbia University,2023,,,,,96.22%,,,,,429.0,423.0,407.0,5.0,6.0,0.0,96.22%,,,,,,,,,,,,
"Connecticut, University of",2023,,,,,95.73%,,,,,140.0,117.0,112.0,,23.0,,95.73%,,,,,,,,,,,,
Cooley Law School,2023,,,,,61.00%,,,,,329.0,300.0,183.0,0.0,29.0,0.0,61.00%,,,,,,,,,,,,
Cornell University,2023,,,,,97.41%,,,,,201.0,193.0,188.0,7.0,0.0,1.0,97.42%,,,,,,,,,,,,
Creighton University,2023,,,,,92.55%,,,,,99.0,94.0,87.0,,5.0,0.0,92.55%,,,,,,,,,,,,
"Dayton, University of",2023,,,,,97.01%,,,,,71.0,67.0,65.0,0.0,4.0,1.0,97.06%,,,,,,,,,,,,
"Denver, University of",2023,,,,,88.44%,,,,,204.0,199.0,176.0,0.0,5.0,1.0,88.50%,,,,,,,,,,,,
DePaul University,2023,,,,,87.68%,,,,,222.0,211.0,185.0,10.0,1.0,1.0,87.74%,,,,,,,,,,,,
"Detroit Mercy, University of",2023,,,,,87.63%,,,,,184.0,97.0,85.0,0.0,87.0,0.0,87.63%,,,,,,,,,,,,
"District of Columbia, University of",2023,,,,,80.60%,,,,,78.0,67.0,54.0,0.0,11.0,0.0,80.60%,,,,,,,,,,,,
Drake University,2023,,,,,91.49%,,,,,97.0,94.0,86.0,0.0,3.0,0.0,91.49%,,,,,,,,,,,,
Drexel University,2023,,,,,93.08%,,,,,135.0,130.0,121.0,0.0,5.0,0.0,93.08%,,,,,,,,,,,,
Duke University,2023,,,,,99.52%,,,,,215.0,207.0,206.0,0.0,3.0,5.0,99.53%,,,,,,,,,,,,
Duquesne University,2023,,,,,90.55%,,,,,132.0,127.0,115.0,4.0,1.0,1.0,90.63%,,,,,,,,,,,,
Elon University,2023,,,,,86.78%,,,,,122.0,121.0,105.0,1.0,0.0,0.0,86.78%,,,,,,,,,,,,
Emory University,2023,,,,,94.59%,,,,,273.0,259.0,245.0,8.0,6.0,1.0,94.62%,,,,,,,,,,,,
Faulkner University,2023,,,,,89.80%,,,,,52.0,49.0,44.0,,3.0,,89.80%,,,,,,,,,,,,
Florida A&M University,2023,,,,,78.57%,,,,,149.0,140.0,110.0,4.0,5.0,0.0,78.57%,,,,,,,,,,,,
Florida International University,2023,,,,,97.67%,,,,,131.0,129.0,126.0,0.0,2.0,0.0,97.67%,,,,,,,,,,,,
Florida State University,2023,,,,,93.94%,,,,,171.0,165.0,155.0,4.0,1.0,1.0,93.98%,,,,,,,,,,,,
"Florida, University of",2023,,,,,95.21%,,,,,315.0,313.0,298.0,0.0,2.0,0.0,95.21%,,,,,,,,,,,,
Fordham University,2023,,,,,97.33%,,,,,397.0,375.0,365.0,20.0,2.0,0.0,97.33%,,,,,,,,,,,,
George Mason University,2023,,,,,96.88%,,,,,177.0,160.0,155.0,0.0,17.0,5.0,96.97%,,,,,,,,,,,,
"George Washington University, The",2023,,,,,95.96%,,,,,425.0,396.0,380.0,6.0,23.0,10.0,96.06%,,,,,,,,,,,,
Georgetown University,2023,,,,,95.45%,,,,,682.0,637.0,608.0,22.0,23.0,16.0,95.56%,,,,,,,,,,,,
Georgia State University,2023,,,,,90.66%,,,,,209.0,182.0,165.0,27.0,0.0,0.0,90.66%,,,,,,,,,,,,
"Georgia, University of",2023,,,,,98.85%,,,,,178.0,174.0,172.0,0.0,4.0,1.0,98.86%,,,,,,,,,,,,
Gonzaga University,2023,,,,,89.13%,,,,,104.0,46.0,41.0,0.0,1.0,57.0,95.15%,,,,,,,,,,,,
Harvard University,2023,,,,,99.01%,,,,,570.0,503.0,498.0,35.0,32.0,3.0,99.01%,,,,,,,,,,,,
"Hawaii, University of",2023,,,,,84.34%,,,,,92.0,83.0,70.0,9.0,0.0,0.0,84.34%,,,,,,,,,,,,
Hofstra University,2023,,,,,85.41%,,,,,242.0,233.0,199.0,0.0,9.0,0.0,85.41%,,,,,,,,,,,,
"Houston, University of",2023,,,,,86.22%,,,,,241.0,225.0,194.0,4.0,16.0,0.0,86.22%,,,,,,,,,,,,
Howard University,2023,,,,,82.00%,,,,,144.0,100.0,82.0,0.0,24.0,1.0,82.18%,,,,,,,,,,,,
"Idaho, University of",2023,,,,,91.67%,,,,,97.0,84.0,77.0,5.0,1.0,7.0,92.31%,,,,,,,,,,,,
"Illinois, University of",2023,,,,,95.71%,,,,,144.0,140.0,134.0,0.0,5.0,1.0,95.74%,,,,,,,,,,,,
"Illinois-Chicago, University of",2023,,,,,84.03%,,,,,249.0,238.0,200.0,4.0,7.0,0.0,84.03%,,,,,,,,,,,,
Indiana University-Bloomington,2023,,,,,95.71%,,,,,153.0,140.0,134.0,0.0,13.0,4.0,95.83%,,,,,,,,,,,,
Indiana University-Indianapolis,2023,,,,,91.34%,,,,,248.0,231.0,211.0,1.0,16.0,0.0,91.34%,,,,,,,,,,,,
Inter American University of Puerto Rico,2023,,,,,62.11%,,,,,181.0,161.0,100.0,12.0,8.0,0.0,62.11%,,,,,,,,,,,,
"Iowa, University of",2023,,,,,93.89%,,,,,133.0,131.0,123.0,0.0,2.0,0.0,93.89%,,,,,,,,,,,,
"Kansas, The University of",2023,,,,,95.92%,,,,,101.0,98.0,94.0,3.0,0.0,0.0,95.92%,,,,,,,,,,,,
"Kentucky, University of",2023,,,,,92.45%,,,,,113.0,106.0,98.0,0.0,7.0,0.0,92.45%,,,,,,,,,,,,
Lewis & Clark Law School,2023,,,,,89.06%,,,,,170.0,64.0,57.0,0.0,106.0,89.0,95.42%,,,,,,,,,,,,
Liberty University,2023,,,,,96.30%,,,,,56.0,54.0,52.0,0.0,2.0,1.0,96.36%,,,,,,,,,,,,
Lincoln Memorial University,2023,,,,,84.93%,,,,,74.0,73.0,62.0,0.0,1.0,0.0,84.93%,,,,,,,,,,,,
Louisiana State University,2023,,,,,99.37%,,,,,169.0,159.0,158.0,9.0,117.0,116.0,99.64%,,,,,,,,,,,,
"Louisville, University of",2023,,,,,95.58%,,,,,118.0,113.0,108.0,2.0,3.0,2.0,95.65%,,,,,,,,,,,,
Loyola Marymount University-Los Angeles,2023,,,,,96.19%,,,,,324.0,315.0,303.0,0.0,9.0,0.0,96.19%,,,,,,,,,,,,
Loyola University-Chicago,2023,,,,,93.69%,,,,,236.0,222.0,208.0,11.0,3.0,1.0,93.72%,,,,,,,,,,,,
Loyola University-New Orleans,2023,,,,,64.71%,,,,,163.0,51.0,33.0,1.0,111.0,103.0,88.31%,,,,,,,,,,,,
"Maine, University of",2023,,,,,95.59%,,,,,76.0,68.0,65.0,0.0,8.0,0.0,95.59%,,,,,,,,,,,,
Marquette University,2023,,,,,57.14%,,,,,172.0,7.0,4.0,0.0,165.0,162.0,98.22%,,,,,,,,,,,,
"Maryland, University of",2023,,,,,93.14%,,,,,187.0,175.0,163.0,6.0,6.0,1.0,93.18%,,,,,,,,,,,,
"Massachusetts/Dartmouth, University of",2023,,,,,83.93%,,,,,59.0,56.0,47.0,0.0,3.0,1.0,84.21%,,,,,,,,,,,,
"Memphis, The University of",2023,,,,,90.12%,,,,,83.0,81.0,73.0,0.0,3.0,0.0,90.12%,,,,,,,,,,,,
Mercer University,2023,,,,,91.53%,,,,,121.0,118.0,108.0,0.0,3.0,0.0,91.53%,,,,,,,,,,,,
"Miami, University of",2023,,,,,86.24%,,,,,340.0,298.0,257.0,0.0,42.0,0.0,86.24%,,,,,,,,,,,,
Michigan State University,2023,,,,,88.26%,,,,,240.0,213.0,188.0,0.0,27.0,0.0,88.26%,,,,,,,,,,,,
"Michigan, University of",2023,,,,,99.20%,,,,,258.0,250.0,248.0,5.0,3.0,0.0,99.20%,,,,,,,,,,,,
"Minnesota, University of",2023,,,,,99.48%,,,,,201.0,191.0,190.0,0.0,10.0,2.0,99.48%,,,,,,,,,,,,
Mississippi College,2023,,,,,82.18%,,,,,116.0,101.0,83.0,0.0,15.0,9.0,83.64%,,,,,,,,,,,,
"Mississippi, The University of",2023,,,,,88.68%,,,,,117.0,106.0,94.0,0.0,11.0,2.0,88.89%,,,,,,,,,,,,
"Missouri, University of",2023,,,,,97.37%,,,,,81.0,76.0,74.0,0.0,5.0,2.0,97.44%,,,,,,,,,,,,
"Missouri-Kansas City, University of",2023,,,,,92.37%,,,,,119.0,118.0,109.0,0.0,1.0,0.0,92.37%,,,,,,,,,,,,
Mitchell/Hamline School of Law,2023,,,,,85.38%,,,,,335.0,301.0,257.0,0.0,34.0,3.0,85.53%,,,,,,,,,,,,
"Montana, University of",2023,,,,,96.92%,,,,,68.0,65.0,63.0,0.0,3.0,3.0,97.06%,,,,,,,,,,,,
"Nebraska, University of",2023,,,,,93.69%,,,,,118.0,111.0,104.0,1.0,5.0,1.0,93.75%,,,,,,,,,,,,
"Nevada-Las Vegas, University of",2023,,,,,89.15%,,,,,133.0,129.0,115.0,1.0,2.0,1.0,89.23%,,,,,,,,,,,,
New England Law/Boston,2023,,,,,87.92%,,,,,153.0,149.0,131.0,0.0,4.0,0.0,87.92%,,,,,,,,,,,,
"New Hampshire, University of",2023,,,,,97.01%,,,,,71.0,67.0,65.0,0.0,4.0,0.0,97.01%,,,,,,,,,,,,
"New Mexico, The University of",2023,,,,,96.46%,,,,,121.0,113.0,109.0,3.0,5.0,0.0,96.46%,,,,,,,,,,,,
New York Law School,2023,,,,,89.77%,,,,,319.0,303.0,272.0,16.0,0.0,0.0,89.77%,,,,,,,,,,,,
New York University,2023,,,,,99.14%,,,,,477.0,464.0,460.0,0.0,13.0,4.0,99.15%,,,,,,,,,,,,
North Carolina Central University,2023,,,,,89.91%,,,,,113.0,109.0,98.0,0.0,4.0,1.0,90.00%,,,,,,,,,,,,
"North Carolina, University of",2023,,,,,96.86%,,,,,197.0,191.0,185.0,0.0,6.0,2.0,96.89%,,,,,,,,,,,,
"North Dakota, University of",2023,,,,,93.65%,,,,,66.0,63.0,59.0,0.0,3.0,0.0,93.65%,,,,,,,,,,,,
"North Texas at Dallas, University of",2023,,,,,83.13%,,,,,88.0,83.0,69.0,0.0,5.0,0.0,83.13%,,,,,,,,,,,,
Northeastern University,2023,,,,,96.83%,,,,,202.0,189.0,183.0,0.0,9.0,3.0,96.88%,,,,,,,,,,,,
Northern Illinois University,2023,,,,,93.02%,,,,,87.0,86.0,80.0,,1.0,,93.02%,,,,,,,,,,,,
Northern Kentucky University,2023,,,,,87.38%,,,,,111.0,103.0,90.0,8.0,0.0,0.0,87.38%,,,,,,,,,,,,
Northwestern University,2023,,,,,97.11%,,,,,256.0,242.0,235.0,14.0,0.0,0.0,97.11%,,,,,,,,,,,,
"Notre Dame, University of",2023,,,,,95.38%,,,,,200.0,195.0,186.0,1.0,4.0,2.0,95.43%,,,,,,,,,,,,
Nova Southeastern University,2023,,,,,82.68%,,,,,190.0,179.0,148.0,1.0,11.0,0.0,82.68%,,,,,,,,,,,,
Ohio Northern University,2023,,,,,81.25%,,,,,50.0,48.0,39.0,1.0,1.0,1.0,81.63%,,,,,,,,,,,,
Oklahoma City University,2023,,,,,89.34%,,,,,128.0,122.0,109.0,1.0,5.0,0.0,89.34%,,,,,,,,,,,,
"Oklahoma, University of",2023,,,,,95.59%,,,,,149.0,136.0,130.0,0.0,13.0,3.0,95.68%,,,,,,,,,,,,
"Oregon, University of",2023,,,,,93.02%,,,,,129.0,43.0,40.0,1.0,85.0,79.0,97.54%,,,,,,,,,,,,
Pace University,2023,,,,,87.06%,,,,,181.0,170.0,148.0,0.0,10.0,1.0,87.13%,,,,,,,,,,,,
"Pacific, University of the",2023,,,,,91.87%,,,,,129.0,123.0,113.0,1.0,6.0,1.0,91.94%,,,,,,,,,,,,
Penn State Dickinson Law,2023,,,,,94.12%,,,,,73.0,68.0,64.0,0.0,5.0,0.0,94.12%,,,,,,,,,,,,
Penn State University,2023,,,,,94.64%,,,,,117.0,112.0,106.0,3.0,1.0,1.0,94.69%,,,,,,,,,,,,
"Pennsylvania, University of",2023,,,,,98.34%,,,,,256.0,241.0,237.0,0.0,15.0,4.0,98.37%,,,,,,,,,,,,
Pepperdine University,2023,,,,,90.77%,,,,,136.0,130.0,118.0,0.0,6.0,0.0,90.77%,,,,,,,,,,,,
"Pittsburgh, University of",2023,,,,,94.03%,,,,,138.0,134.0,126.0,0.0,4.0,0.0,94.03%,,,,,,,,,,,,
Pontifical Catholic University of Puerto Rico,2023,,,,,72.63%,,,,,107.0,95.0,69.0,9.0,3.0,0.0,72.63%,,,,,,,,,,,,
"Puerto Rico, University of",2023,,,,,71.43%,,,,,181.0,168.0,120.0,0.0,13.0,0.0,71.43%,,,,,,,,,,,,
Quinnipiac University,2023,,,,,91.60%,,,,,126.0,119.0,109.0,2.0,5.0,0.0,91.60%,,,,,,,,,,,,
Regent University,2023,,,,,98.53%,,,,,73.0,68.0,67.0,3.0,2.0,0.0,98.53%,,,,,,,,,,,,
"Richmond, University of",2023,,,,,96.23%,,,,,116.0,106.0,102.0,1.0,9.0,3.0,96.33%,,,,,,,,,,,,
Roger Williams University,2023,,,,,84.78%,,,,,145.0,138.0,117.0,0.0,7.0,0.0,84.78%,,,,,,,,,,,,
Rutgers University,2023,,,,,89.80%,,,,,366.0,343.0,308.0,5.0,18.0,0.0,89.80%,,,,,,,,,,,,
Saint Louis University,2023,,,,,96.79%,,,,,165.0,156.0,151.0,6.0,3.0,1.0,96.82%,,,,,,,,,,,,
Samford University,2023,,,,,97.20%,,,,,144.0,143.0,139.0,0.0,1.0,0.0,97.20%,,,,,,,,,,,,
"San Diego, University of",2023,,,,,92.41%,,,,,234.0,224.0,207.0,0.0,10.0,3.0,92.51%,,,,,,,,,,,,
"San Francisco, University of",2023,,,,,87.50%,,,,,121.0,112.0,98.0,0.0,9.0,2.0,87.72%,,,,,,,,,,,,
Santa Clara University,2023,,,,,88.89%,,,,,209.0,189.0,168.0,0.0,20.0,0.0,88.89%,,,,,,,,,,,,
Seattle University,2023,,,,,85.71%,,,,,184.0,56.0,48.0,12.0,116.0,115.0,95.32%,,,,,,,,,,,,
Seton Hall University,2023,,,,,88.13%,,,,,167.0,160.0,141.0,0.0,7.0,0.0,88.13%,,,,,,,,,,,,
"South Carolina, University of",2023,,,,,94.39%,,,,,200.0,196.0,185.0,0.0,4.0,0.0,94.39%,,,,,,,,,,,,
"South Dakota, University of",2023,,,,,86.79%,,,,,55.0,53.0,46.0,0.0,2.0,0.0,86.79%,,,,,,,,,,,,
South Texas College of Law Houston,2023,,,,,88.32%,,,,,283.0,274.0,242.0,,9.0,1.0,88.36%,,,,,,,,,,,,
"Southern California, University of",2023,,,,,98.34%,,,,,190.0,181.0,178.0,3.0,6.0,1.0,98.35%,,,,,,,,,,,,
Southern Illinois University,2023,,,,,75.00%,,,,,93.0,84.0,63.0,0.0,10.0,0.0,75.00%,,,,,,,,,,,,
Southern Methodist University,2023,,,,,95.33%,,,,,223.0,214.0,204.0,0.0,9.0,0.0,95.33%,,,,,,,,,,,,
Southern University,2023,,,,,84.40%,,,,,145.0,109.0,92.0,27.0,9.0,56.0,89.70%,,,,,,,,,,,,
Southwestern Law School,2023,,,,,95.24%,,,,,217.0,210.0,200.0,7.0,0.0,0.0,95.24%,,,,,,,,,,,,
St. John's University,2023,,,,,95.95%,,,,,250.0,247.0,237.0,0.0,3.0,0.0,95.95%,,,,,,,,,,,,
St. Mary's University,2023,,,,,86.89%,,,,,215.0,206.0,179.0,0.0,9.0,1.0,86.96%,,,,,,,,,,,,
St. Thomas University (Miami),2023,,,,,80.67%,,,,,162.0,150.0,121.0,3.0,9.0,1.0,80.79%,,,,,,,,,,,,
"St. Thomas, (Minneapolis) University of",2023,,,,,86.82%,,,,,138.0,129.0,112.0,7.0,2.0,0.0,86.82%,,,,,,,,,,,,
Stanford University,2023,,,,,100.00%,,,,,183.0,170.0,170.0,1.0,9.0,3.0,100.00%,,,,,,,,,,,,
Stetson University,2023,,,,,87.03%,,,,,256.0,239.0,208.0,,17.0,,87.03%,,,,,,,,,,,,
Suffolk University,2023,,,,,89.40%,,,,,306.0,283.0,253.0,22.0,1.0,0.0,89.40%,,,,,,,,,,,,
Syracuse University,2023,,,,,90.97%,,,,,164.0,155.0,141.0,2.0,7.0,0.0,90.97%,,,,,,,,,,,,
Temple University,2023,,,,,93.27%,,,,,214.0,208.0,194.0,1.0,5.0,0.0,93.27%,,,,,,,,,,,,
"Tennessee, University of",2023,,,,,93.97%,,,,,120.0,116.0,109.0,0.0,4.0,0.0,93.97%,,,,,,,,,,,,
Texas A&M University,2023,,,,,99.19%,,,,,125.0,123.0,122.0,0.0,2.0,0.0,99.19%,,,,,,,,,,,,
Texas Southern University,2023,,,,,75.00%,,,,,211.0,200.0,150.0,0.0,12.0,1.0,75.12%,,,,,,,,,,,,
Texas Tech University,2023,,,,,96.61%,,,,,119.0,118.0,114.0,0.0,1.0,0.0,96.61%,,,,,,,,,,,,
"Texas, University of",2023,,,,,99.03%,,,,,323.0,309.0,306.0,3.0,11.0,5.0,99.04%,,,,,,,,,,,,
The Ohio State University,2023,,,,,97.00%,,,,,206.0,200.0,194.0,2.0,3.0,1.0,97.01%,,,,,,,,,,,,
"Toledo, The University of",2023,,,,,91.57%,,,,,89.0,83.0,76.0,6.0,0.0,0.0,91.57%,,,,,,,,,,,,
Touro University,2023,,,,,79.07%,,,,,135.0,129.0,102.0,0.0,6.0,0.0,79.07%,,,,,,,,,,,,
Tulane University,2023,,,,,82.48%,,,,,212.0,137.0,113.0,5.0,3.0,67.0,88.24%,,,,,,,,,,,,
